Metrics,best_logistic_regression_model,best_decision_tree_model,best_random_forest_model,best_svm_model,best_nn_model
Accuracy,0.9236250432376341,0.9392597717052923,0.9435489450017295,0.9322033898305084,0.9360082745552063
Loss,0.23644608009457616,,,0.23666913486369232,0.19789287447929382
Precision,0.952437106918239,0.9568280809633615,0.9554317548746518,0.9517994858611826,0.9489291598023064
Recall,0.9074906367041199,0.9324594257178527,0.9420724094881399,0.9244694132334582,0.9348314606741573
F1-Score,0.9294207901802839,0.9444865958523014,0.9487050540608499,0.9379354021532615,0.9418275580152192
