Metrics,best_logistic_regression_model,best_decision_tree_model,best_random_forest_model,best_svm_model,best_nn_model
Accuracy,0.9236250432376341,0.9392597717052923,0.9435489450017295,0.9322033898305084,0.9360082745552063
Loss,0.23644608009457616,,,0.23666913486369232,0.19789287447929382
Precision,0.9219169266087605,0.9377312310366515,0.9423338429703441,0.9305813908706662,0.9347022398645901
Recall,0.9255839529525254,0.9400854149535733,0.9437282140536123,0.9331423869891108,0.9361511841772648
F1-Score,0.9231065361814896,0.9387164917553854,0.9429727393054596,0.931620140101021,0.9353614690683367
