Metrics,best_logistic_regression_model,best_decision_tree_model,best_random_forest_model,best_svm_model,best_nn_model
Accuracy,0.9236250432376341,0.9392597717052923,0.9435489450017295,0.9322033898305084,0.9360082745552063
Loss,0.23644608009457616,,,0.23666913486369232,0.19789287447929382
Precision,0.8913967462992819,0.9186343811099413,0.9292359310660363,0.9093632958801499,0.9204753199268738
Recall,0.943677269200931,0.947711404189294,0.9453840186190846,0.9418153607447634,0.9374709076803723
F1-Score,0.9167922821826953,0.9329463876584695,0.9372404245500692,0.9253048780487805,0.9288953801214543
